,k,coherent score
0,2,0.3147333101594515
1,3,0.5535325140273738
2,4,0.517832771790601
3,5,0.4917500013223279
4,6,0.5589086225096053
5,7,0.4896511124752339
6,8,0.5420974520778314
7,9,0.4824020096578107
8,10,0.5265647490481069
9,11,0.5597147281013519
