,precision,recall,f1-score,support
0,0.0,0.0,0.0,58.0
1,0.8688524590163934,0.9956647398843931,0.9279461279461279,692.0
2,0.9763513513513513,0.8525073746312685,0.910236220472441,339.0
accuracy,0.8980716253443526,0.8980716253443526,0.8980716253443526,0.8980716253443526
macro avg,0.6150679367892482,0.6160573715052206,0.6127274494728563,1089.0
weighted avg,0.856041331264878,0.8980716253443526,0.8730108349668301,1089.0

,0,1,2
0,0,54,4
1,0,689,3
2,0,50,289

